solver,package,abstol,reltol,error,time_s,steps,rejects,nf,njacs,newton_iters
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-05,1e-02,3.939e-05,1.5881e-03,33,6,195,39,156
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-06,1e-03,2.542e-06,2.5709e-03,60,12,360,72,288
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-07,1e-04,5.212e-07,4.7322e-03,127,17,720,144,576
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-08,1e-05,7.467e-08,8.7064e-03,270,5,1375,275,1100
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-09,1e-06,8.586e-09,1.7750e-02,575,2,2885,577,2308
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-10,1e-07,9.496e-10,3.6939e-02,1214,0,6070,1214,4856
"ROS34PW2",OrdinaryDiffEq,1e-05,1e-02,8.725e-06,1.1650e-04,52,4,721,55,0
"ROS34PW2",OrdinaryDiffEq,1e-06,1e-03,1.074e-06,2.0587e-04,94,10,1264,94,0
"ROS34PW2",OrdinaryDiffEq,1e-07,1e-04,1.946e-07,3.9572e-04,188,23,2304,162,0
"ROS34PW2",OrdinaryDiffEq,1e-08,1e-05,2.034e-08,7.9492e-04,385,58,4348,286,0
"ROS34PW2",OrdinaryDiffEq,1e-09,1e-06,2.504e-09,1.5439e-03,785,114,7540,438,0
"ROS34PW2",OrdinaryDiffEq,1e-10,1e-07,3.498e-10,2.9944e-03,1598,189,13648,722,0
"TSRosW(""rodas3"")",PETScDiffEq,1e-05,1e-02,1.425e-05,1.5427e-03,33,3,180,36,144
"TSRosW(""rodas3"")",PETScDiffEq,1e-06,1e-03,4.849e-06,2.8930e-03,67,12,395,79,316
"TSRosW(""rodas3"")",PETScDiffEq,1e-07,1e-04,6.936e-07,5.4346e-03,145,18,815,163,652
"TSRosW(""rodas3"")",PETScDiffEq,1e-08,1e-05,9.898e-08,1.0943e-02,337,3,1700,340,1360
"TSRosW(""rodas3"")",PETScDiffEq,1e-09,1e-06,1.092e-08,2.6057e-02,835,2,4185,837,3348
"TSRosW(""rodas3"")",PETScDiffEq,1e-10,1e-07,9.970e-10,6.5821e-02,2164,3,10835,2167,8668
"Rodas3",OrdinaryDiffEq,1e-05,1e-02,1.188e-05,1.2208e-04,55,5,737,55,0
"Rodas3",OrdinaryDiffEq,1e-06,1e-03,3.520e-06,2.2002e-04,100,11,1346,100,0
"Rodas3",OrdinaryDiffEq,1e-07,1e-04,5.507e-07,4.2207e-04,196,20,2630,196,0
"Rodas3",OrdinaryDiffEq,1e-08,1e-05,7.648e-08,8.8578e-04,424,29,5630,424,0
"Rodas3",OrdinaryDiffEq,1e-09,1e-06,9.269e-09,2.0367e-03,995,31,13061,995,0
"Rodas3",OrdinaryDiffEq,1e-10,1e-07,8.658e-10,4.9372e-03,2446,34,31936,2446,0
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-05,1e-02,2.886e-04,2.7853e-03,83,2,411,162,162
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-06,1e-03,3.462e-05,3.1789e-03,96,5,479,188,188
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-07,1e-04,3.151e-06,4.0044e-03,126,11,627,244,244
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-08,1e-05,1.184e-06,5.0178e-03,167,22,810,309,309
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-09,1e-06,1.232e-07,5.9145e-03,231,20,992,369,369
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-10,1e-07,1.600e-08,7.0732e-03,323,20,1199,426,426
"FBDF",OrdinaryDiffEq,1e-05,1e-02,2.145e-04,1.9139e-04,84,4,371,8,234
"FBDF",OrdinaryDiffEq,1e-06,1e-03,2.104e-05,2.8075e-04,114,8,495,10,322
"FBDF",OrdinaryDiffEq,1e-07,1e-04,2.245e-06,4.4002e-04,166,13,691,8,554
"FBDF",OrdinaryDiffEq,1e-08,1e-05,2.029e-07,6.1035e-04,238,18,794,8,657
"FBDF",OrdinaryDiffEq,1e-09,1e-06,2.968e-08,9.4975e-04,369,28,1219,7,1100
"FBDF",OrdinaryDiffEq,1e-10,1e-07,1.461e-09,1.3058e-03,526,18,1577,6,1476
"TSARKIMEX(""4"")",PETScDiffEq,1e-05,1e-02,2.801e-05,4.1479e-03,17,2,744,296,295
"TSARKIMEX(""4"")",PETScDiffEq,1e-06,1e-03,3.616e-06,5.9485e-03,26,5,1068,433,432
"TSARKIMEX(""4"")",PETScDiffEq,1e-07,1e-04,4.345e-07,7.8783e-03,39,9,1391,574,573
"TSARKIMEX(""4"")",PETScDiffEq,1e-08,1e-05,2.225e-08,1.2988e-02,67,15,2369,978,977
"TSARKIMEX(""4"")",PETScDiffEq,1e-09,1e-06,9.432e-10,1.8439e-02,119,12,3470,1406,1405
"TSARKIMEX(""4"")",PETScDiffEq,1e-10,1e-07,4.116e-11,3.0105e-02,221,4,5594,2233,2232
"KenCarp4",OrdinaryDiffEq,1e-05,1e-02,1.534e-06,2.1373e-04,25,0,735,15,512
"KenCarp4",OrdinaryDiffEq,1e-06,1e-03,6.337e-07,2.5813e-04,31,0,895,17,636
"KenCarp4",OrdinaryDiffEq,1e-07,1e-04,3.022e-07,3.5796e-04,42,0,1263,21,932
"KenCarp4",OrdinaryDiffEq,1e-08,1e-05,1.492e-07,4.6500e-04,55,0,1646,22,1297
"KenCarp4",OrdinaryDiffEq,1e-09,1e-06,2.653e-08,7.2806e-04,78,10,2644,31,2133
"KenCarp4",OrdinaryDiffEq,1e-10,1e-07,3.362e-09,1.1430e-03,121,18,4088,37,3469
"Rodas5P",OrdinaryDiffEq,1e-05,1e-02,3.836e-05,1.3342e-04,36,4,646,36,0
"Rodas5P",OrdinaryDiffEq,1e-06,1e-03,4.894e-07,1.7741e-04,47,7,857,47,0
"Rodas5P",OrdinaryDiffEq,1e-07,1e-04,1.745e-07,2.4601e-04,65,11,1195,65,0
"Rodas5P",OrdinaryDiffEq,1e-08,1e-05,2.700e-08,4.1502e-04,111,18,2033,111,0
"Rodas5P",OrdinaryDiffEq,1e-09,1e-06,4.087e-09,6.9008e-04,193,23,3467,193,0
"Rodas5P",OrdinaryDiffEq,1e-10,1e-07,3.265e-11,1.2335e-03,351,29,6201,351,0
"CVODE_BDF",Sundials,1e-05,1e-02,2.836e-04,1.7062e-04,98,8,193,8,190
"CVODE_BDF",Sundials,1e-06,1e-03,5.825e-05,2.2272e-04,152,9,261,9,258
"CVODE_BDF",Sundials,1e-07,1e-04,2.349e-06,3.4934e-04,240,17,414,10,411
"CVODE_BDF",Sundials,1e-08,1e-05,6.847e-07,5.5729e-04,414,29,668,10,665
