solver,package,abstol,reltol,error,time_s,steps,rejects,nf,njacs,newton_iters
"TSRK(""3bs"")",PETScDiffEq,1e-06,1e-03,7.461e-03,6.1606e-04,82,19,304,0,0
"TSRK(""3bs"")",PETScDiffEq,1e-07,1e-04,8.432e-04,9.0377e-04,169,18,562,0,0
"TSRK(""3bs"")",PETScDiffEq,1e-08,1e-05,8.834e-05,1.5400e-03,357,15,1117,0,0
"TSRK(""3bs"")",PETScDiffEq,1e-09,1e-06,9.126e-06,2.8016e-03,763,6,2308,0,0
"TSRK(""3bs"")",PETScDiffEq,1e-10,1e-07,9.387e-07,5.6776e-03,1642,0,4927,0,0
"TSRK(""3bs"")",PETScDiffEq,1e-11,1e-08,9.462e-08,1.1904e-02,3535,0,10606,0,0
"TSRK(""3bs"")",PETScDiffEq,1e-12,1e-09,9.498e-09,2.5578e-02,7614,0,22843,0,0
"TSRK(""3bs"")",PETScDiffEq,1e-13,1e-10,9.515e-10,5.4713e-02,16403,0,49210,0,0
"BS3",OrdinaryDiffEq,1e-06,1e-03,3.766e-03,2.0610e-05,101,3,315,0,0
"BS3",OrdinaryDiffEq,1e-07,1e-04,3.991e-04,3.9386e-05,212,0,639,0,0
"BS3",OrdinaryDiffEq,1e-08,1e-05,4.024e-05,8.1858e-05,455,0,1368,0,0
"BS3",OrdinaryDiffEq,1e-09,1e-06,4.217e-06,1.7169e-04,977,0,2934,0,0
"BS3",OrdinaryDiffEq,1e-10,1e-07,4.376e-07,3.6362e-04,2101,0,6306,0,0
"BS3",OrdinaryDiffEq,1e-11,1e-08,4.471e-08,7.8622e-04,4522,0,13569,0,0
"BS3",OrdinaryDiffEq,1e-12,1e-09,4.518e-09,1.6950e-03,9738,0,29217,0,0
"BS3",OrdinaryDiffEq,1e-13,1e-10,4.539e-10,3.6596e-03,20976,0,62931,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-06,1e-03,3.632e-02,4.9543e-04,29,10,235,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-07,1e-04,1.844e-03,5.6817e-04,40,12,313,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-08,1e-05,1.824e-04,6.7504e-04,59,14,439,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-09,1e-06,1.311e-05,8.7206e-04,91,19,661,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-10,1e-07,9.780e-07,1.1497e-03,141,16,943,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-11,1e-08,5.598e-08,1.5787e-03,221,15,1417,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-12,1e-09,2.772e-09,2.3372e-03,348,12,2161,0,0
"TSRK(""5dp"")",PETScDiffEq,1e-13,1e-10,7.467e-11,3.3997e-03,549,10,3355,0,0
"DP5",OrdinaryDiffEq,1e-06,1e-03,9.195e-03,1.0751e-05,29,7,219,0,0
"DP5",OrdinaryDiffEq,1e-07,1e-04,1.840e-03,1.3477e-05,41,7,291,0,0
"DP5",OrdinaryDiffEq,1e-08,1e-05,1.426e-04,1.8887e-05,61,11,435,0,0
"DP5",OrdinaryDiffEq,1e-09,1e-06,1.162e-05,2.6451e-05,94,11,633,0,0
"DP5",OrdinaryDiffEq,1e-10,1e-07,7.863e-07,3.8104e-05,147,9,939,0,0
"DP5",OrdinaryDiffEq,1e-11,1e-08,3.779e-08,5.7040e-05,232,6,1431,0,0
"DP5",OrdinaryDiffEq,1e-12,1e-09,1.550e-09,8.7198e-05,365,3,2211,0,0
"DP5",OrdinaryDiffEq,1e-13,1e-10,6.663e-11,1.3638e-04,579,3,3495,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-06,1e-03,1.903e-03,6.1438e-04,26,16,420,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-07,1e-04,3.397e-04,6.4342e-04,31,14,450,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-08,1e-05,6.867e-05,7.3061e-04,39,15,540,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-09,1e-06,3.392e-06,8.5169e-04,51,19,700,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-10,1e-07,3.064e-07,1.0589e-03,68,21,890,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-11,1e-08,1.619e-08,1.2388e-03,92,19,1110,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-12,1e-09,7.390e-10,1.5007e-03,126,18,1440,0,0
"TSRK(""7vr"")",PETScDiffEq,1e-13,1e-10,3.031e-11,1.8639e-03,173,17,1900,0,0
"Vern7",OrdinaryDiffEq,1e-06,1e-03,7.418e-04,1.2414e-05,30,4,342,0,0
"Vern7",OrdinaryDiffEq,1e-07,1e-04,9.464e-05,1.4358e-05,37,3,402,0,0
