solver,package,abstol,reltol,error,time_s,steps,rejects,nf,njacs,newton_iters
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-05,1e-03,1.717e-03,2.3239e-02,44,9,265,53,212
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-06,1e-04,2.229e-04,3.6037e-02,89,10,495,99,396
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-07,1e-05,2.447e-05,6.4759e-02,186,6,960,192,768
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-08,1e-06,2.502e-06,1.1823e-01,395,0,1975,395,1580
"TSRosW(""ra34pw2"")",PETScDiffEq,1e-09,1e-07,2.550e-07,2.4999e-01,849,0,4245,849,3396
"TSRosW(""ra34pw2""), LU",PETScDiffEq,1e-05,1e-03,1.717e-03,1.1852e-02,44,9,265,53,212
"TSRosW(""ra34pw2""), LU",PETScDiffEq,1e-06,1e-04,2.227e-04,2.2041e-02,89,10,495,99,396
"TSRosW(""ra34pw2""), LU",PETScDiffEq,1e-07,1e-05,2.445e-05,3.8412e-02,186,6,960,192,768
"TSRosW(""ra34pw2""), LU",PETScDiffEq,1e-08,1e-06,2.516e-06,7.5786e-02,395,0,1975,395,1580
"TSRosW(""ra34pw2""), LU",PETScDiffEq,1e-09,1e-07,2.553e-07,1.6007e-01,849,0,4245,849,3396
"ROS34PW2",OrdinaryDiffEq,1e-05,1e-03,5.266e-04,1.1893e-02,63,5,559,57,0
"ROS34PW2",OrdinaryDiffEq,1e-06,1e-04,2.868e-05,2.1543e-02,118,9,955,89,0
"ROS34PW2",OrdinaryDiffEq,1e-07,1e-05,2.870e-06,3.9878e-02,232,11,1594,124,0
"ROS34PW2",OrdinaryDiffEq,1e-08,1e-06,1.917e-07,7.7710e-02,475,12,2725,155,0
"ROS34PW2",OrdinaryDiffEq,1e-09,1e-07,1.305e-07,1.6171e-01,1013,16,5133,203,0
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-05,1e-03,2.876e-03,3.1032e-02,63,8,412,169,169
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-06,1e-04,9.188e-04,3.6313e-02,87,9,497,199,199
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-07,1e-05,1.208e-04,4.6565e-02,122,10,673,269,269
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-08,1e-06,1.698e-05,6.2571e-02,173,14,940,375,375
"TSImplicit(""bdf""; order = 5)",PETScDiffEq,1e-09,1e-07,2.449e-06,7.8295e-02,246,10,1244,492,492
"TSImplicit(""bdf""; order = 5), LU",PETScDiffEq,1e-05,1e-03,2.876e-03,2.4559e-02,63,8,404,165,165
"TSImplicit(""bdf""; order = 5), LU",PETScDiffEq,1e-06,1e-04,9.188e-04,2.9237e-02,87,9,493,197,197
"TSImplicit(""bdf""; order = 5), LU",PETScDiffEq,1e-07,1e-05,1.208e-04,3.7837e-02,122,10,645,255,255
"TSImplicit(""bdf""; order = 5), LU",PETScDiffEq,1e-08,1e-06,1.698e-05,5.0955e-02,173,14,884,347,347
"TSImplicit(""bdf""; order = 5), LU",PETScDiffEq,1e-09,1e-07,2.449e-06,7.0320e-02,246,10,1236,488,488
"FBDF",OrdinaryDiffEq,1e-05,1e-03,1.507e-03,8.1769e-03,94,2,253,2,232
